Nama,Dapil,Partai,Jabatan,Pendidikan,Pasangan,Keluarga
Ahmad Muzani,Lampung I,Gerindra,Ketua Majelis Permusyawaratan Rakyat Republik Indonesia; Wakil Ketua Majelis Permusyawaratan Rakyat Republik Indonesia; DPR RI; Sekretaris Jenderal Partai Gerakan Indonesia Raya; Ketua Majelis Permusyawaratan Rakyat Republik Indonesia; Wakil Ketua Majelis Permusyawaratan Rakyat Republik Indonesia; DPR RI; Sekretaris Jenderal Partai Gerakan Indonesia Raya,Universitas Ibn Khaldun,,
Sudin,Lampung I,PDI-P,DPR RI,STIE Pengembangan Bisnis dan Manajemen,,
Rycko Menoza,Lampung I,Golkar,DPR RI; Bupati Lampung Selatan,Universitas Katolik Parahyangan; Oklahoma City University; Universitas Palembang,,
Rahmawati Herdian,Lampung I,NasDem,DPR RI,Universitas Indonesia,,
Al Muzzammil Yusuf,Lampung I,PKS,Presiden Partai Keadilan Sejahtera; DPR RI,Universitas Indonesia; Universitas Sahid,,
Putri Zulkifli Hasan,Lampung I,PAN,DPR RI,Institut Teknologi Bandung; Australian National University; Harvard Kennedy School,,
Zulkifli Anwar,Lampung I,Demokrat,DPR RI; Bupati Lampung Selatan ke-12,Universitas Lampung,,
Chusnunia Chalim,Lampung II,PKB,DPR RI; Wakil Gubernur Lampung; Bupati Lampung Timur,IAIN Walisongo; Universitas Nasional; Universitas Indonesia; Universitas Malaya; Universitas Sang Bumi Rawa Jurai,,
Dwita Ria Gunadi,Lampung II,Gerindra,DPR RI,Universitas Lampung,,
Bob Hasan (politikus),Lampung II,Gerindra,DPR RI,STIH IBLAM; Universitas Sebelas Maret,,
I Ketut Suwendra,Lampung II,PDI-P,DPR RI,Institut Pertanian Bogor; Universitas Bandar Lampung,,
Hanan A. Rozak,Lampung II,Golkar,DPR RI; Bupati Tulang Bawang,Institut Pertanian Bogor; Universitas Padjadjaran,,
Aprozi Alam,Lampung II,Golkar,DPR RI,STIE - SAN Bandar Lampung,,
Tamanuri,Lampung II,NasDem,DPR RI; Bupati Way Kanan,APDN; ATIA-LAN; STIE JAYAKARTA,,
Ahmad Junaidi Auly,Lampung II,PKS,DPR RI,Institut Pertanian Bogor; Universitas Lampung,,
Irham Jafar Lan Putra,Lampung II,PAN,DPR RI,Universitas Lampung,,
Marwan Cik Asan,Lampung II,Demokrat,DPR RI,Universitas Indonesia,,
Melati (politisi),Kepulauan Bangka Belitung,Gerindra,DPR RI,Universitas Tarumanagara,,
Rudianto Tjen,Kepulauan Bangka Belitung,PDI-P,DPR RI,Universitas Kristen Indonesia,,
Bambang Patijaya,Kepulauan Bangka Belitung,Golkar,DPR RI,Universitas Tarumanagara; STIE PERTIBA,,
Endipat Wijaya,Kepulauan Riau,Gerindra,DPR RI,Institut Teknologi Bandung; Swiss German University,,
Randi Zulmariadi,Kepulauan Riau,NasDem,DPR RI,Universitas Islam Indonesia; Universitas Batam,,
Hasbiallah Ilyas,DKI Jakarta I,PKB,DPR RI,Institut Ilmu Qur'an Jakarta; Damaskus University,,
Habiburokhman,DKI Jakarta I,Gerindra,DPR RI,Universitas Lampung; Universitas Indonesia; Universitas Sebelas Maret,,
Anis Byarwati,DKI Jakarta I,PKS,DPR RI,STAI Al-Hikmah Jakarta; Universitas Indonesia; Universitas Airlangga,,
Eko Patrio,DKI Jakarta I,PAN,DPR RI; Sekertaris Jendral Partai Amanat Nasional,Institut Ilmu Sosial dan Ilmu Politik Jakarta,,
Ida Fauziyah,DKI Jakarta II,PKB,DPR RI; Menteri Ketenagakerjaan Indonesia,IAIN Sunan Ampel; Universitas Satyagama; Institut Pemerintahan Dalam Negeri,,
Himmatul Aliyah,DKI Jakarta II,Gerindra,DPR RI; DPR RI,Universitas Islam Syekh Yusuf Tangerang; Universitas Indonesia,,
Hidayat Nur Wahid,DKI Jakarta II,PKS,Ketua Majelis Permusyawaratan Rakyat Republik Indonesia; Wakil Ketua Majelis Permusyawaratan Rakyat Republik Indonesia; DPR RI; Presiden Partai Keadilan Sejahtera,Pondok Modern Darussalam Gontor; UIN Sunan Kalijaga; Universitas Islam Madinah,,
Kurniasih Mufidayati,DKI Jakarta II,PKS,DPR RI; DPRD Provinsi DKI Jakarta,IKIP Semarang; Universitas Indonesia,,
Uya Kuya,DKI Jakarta II,PAN,DPR RI,Universitas Indonesia,,
Rahayu Saraswati Djojohadikusumo,DKI Jakarta III,Gerindra,DPR RI,International School of Screen Acting,,
Charles Honoris,DKI Jakarta III,PDI-P,DPR RI,International Christian University,,
Darmadi Durianto,DKI Jakarta III,PDI-P,DPR RI,Unika Atma Jaya; Universitas Manila,,
Erwin Aksa,DKI Jakarta III,Golkar,DPR RI,University of Pittsburgh,,
Ahmad Sahroni,DKI Jakarta III,NasDem,DPR RI,Sekolah Tinggi Ilmu Ekonomi (STIE) Pelita Bangsa; Stikom InterStudi; Universitas Borobudur Jakarta,,
