Nama,Dapil,Partai,Jabatan,Pendidikan,Pasangan,Keluarga
Ahmad Muzani,Lampung I,Gerindra,Ketua Majelis Permusyawaratan Rakyat Republik Indonesia; Wakil Ketua Majelis Permusyawaratan Rakyat Republik Indonesia; DPR RI; Sekretaris Jenderal Partai Gerakan Indonesia Raya; Ketua Majelis Permusyawaratan Rakyat Republik Indonesia; Wakil Ketua Majelis Permusyawaratan Rakyat Republik Indonesia; DPR RI; Sekretaris Jenderal Partai Gerakan Indonesia Raya,Universitas Ibn Khaldun,Himmatul Aliyah (istri),
Sudin,Lampung I,PDI-P,DPR RI,STIE Pengembangan Bisnis dan Manajemen,Jo Lin Sumbardi (istri),
Rycko Menoza,Lampung I,Golkar,DPR RI; Bupati Lampung Selatan,Universitas Katolik Parahyangan; Oklahoma City University; Universitas Palembang,,"Sjachroedin ZP (ayah, mantan Gubernur Lampung)"
Rahmawati Herdian,Lampung I,NasDem,DPR RI,Universitas Indonesia,,Herman HN (ayah); Eva Dwiana (ibu)
Al Muzzammil Yusuf,Lampung I,PKS,Presiden Partai Keadilan Sejahtera; DPR RI,Universitas Indonesia; Universitas Sahid,Nurul Hidayati K. Ubaya (istri),
Putri Zulkifli Hasan,Lampung I,PAN,DPR RI,Institut Teknologi Bandung; Australian National University; Harvard Kennedy School,"Ahmad Mumtaz Rais (suami, menikah 2011, bercerai 2022); Zumi Zola (suami, menikah 2024)",Zulkifli Hasan (ayah); Soraya Zulkifli Hasan (ibu); Helmi Hasan (paman); Zainudin Hasan (paman)
Zulkifli Anwar,Lampung I,Demokrat,DPR RI; Bupati Lampung Selatan ke-12,Universitas Lampung,Dra. Djuniar Adhar (istri),Dendi Ramadhona (anak); Nanda Indira Bastian (menantu)
Chusnunia Chalim,Lampung II,PKB,DPR RI; Wakil Gubernur Lampung; Bupati Lampung Timur,IAIN Walisongo; Universitas Nasional; Universitas Indonesia; Universitas Malaya; Universitas Sang Bumi Rawa Jurai,Erry Ayudhiansyah (suami),KH Abdul Halim (ayah); Kholisoh (ibu); Jihan Nurlela (adik); Sasa Chalim (adik)
Dwita Ria Gunadi,Lampung II,Gerindra,DPR RI,Universitas Lampung,Gunadi Ibrahim (suami),
Bob Hasan (politikus),Lampung II,Gerindra,DPR RI,STIH IBLAM; Universitas Sebelas Maret,,
I Ketut Suwendra,Lampung II,PDI-P,DPR RI,Institut Pertanian Bogor; Universitas Bandar Lampung,,
Hanan A. Rozak,Lampung II,Golkar,DPR RI; Bupati Tulang Bawang,Institut Pertanian Bogor; Universitas Padjadjaran,Erna Suud (istri),
Aprozi Alam,Lampung II,Golkar,DPR RI,STIE - SAN Bandar Lampung,,
